,keff,keff_err,p
847,1.00065,4.34255e-05,0.406
848,1.00028,4.32068e-05,0.227
849,1.0002,4.29973e-05,0.194
850,0.99968,4.34505e-05,-0.062
851,1.00014,4.33881e-05,0.177
852,0.999939,4.30875e-05,0.08
853,0.99936,4.31863e-05,-0.211
854,0.999297,4.28455e-05,-0.228
855,0.998619,4.28772e-05,-0.47
856,0.999189,4.2373e-05,-0.29
857,1.00047,4.27612e-05,0.365
858,0.999048,4.37223e-05,-0.3
859,0.99915,4.31635e-05,-0.244
860,1.00023,4.20089e-05,0.22
861,1.00024,4.34617e-05,0.198
862,1.00069,4.2939e-05,0.496
863,1.00014,4.26792e-05,0.16
864,0.9995,4.29528e-05,-0.135
865,0.999666,4.28519e-05,-0.098
866,0.99964,4.22616e-05,-0.091
867,0.999125,4.23117e-05,-0.316
868,0.999047,4.29017e-05,-0.339
869,0.999857,4.26951e-05,0.075
870,0.999271,4.27889e-05,-0.193
871,0.998894,4.31752e-05,-0.347
872,1.00025,4.3604e-05,0.182
873,1.00065,4.24081e-05,0.471
874,0.999438,4.25186e-05,-0.154
875,0.999822,4.27071e-05,0.02
876,0.999672,4.22141e-05,-0.015
877,1.00072,4.26226e-05,0.486
878,0.998911,4.3397e-05,-0.359
879,0.999226,4.26239e-05,-0.196
880,1.00018,4.1699e-05,0.164
881,0.998666,4.26512e-05,-0.499
882,1.00022,4.36481e-05,0.213
883,0.999954,4.29115e-05,0.083
884,0.999761,4.27464e-05,0.014
885,0.998878,4.25275e-05,-0.406
886,0.999453,4.18436e-05,-0.162
887,0.998678,4.31464e-05,-0.433
888,1.0007,4.27412e-05,0.489
889,0.999962,4.30069e-05,0.114
890,1.00036,4.31332e-05,0.308
891,0.99889,4.28226e-05,-0.393
892,1.0004,4.3157e-05,0.307
893,0.999589,4.27185e-05,-0.084
894,0.999172,4.27665e-05,-0.27
895,1.0001,4.36071e-05,0.136
896,0.999187,4.29047e-05,-0.253
897,1.00062,4.32918e-05,0.431
898,0.998874,4.33945e-05,-0.397
899,0.99964,4.28919e-05,-0.049
900,0.999389,4.30703e-05,-0.175
901,1.00073,4.33496e-05,0.459
902,0.999489,4.29182e-05,-0.113
903,0.99919,4.19396e-05,-0.252
904,1.00055,4.26826e-05,0.328
905,1.00016,4.26394e-05,0.18
906,1.00015,4.31226e-05,0.179
907,0.998589,4.31107e-05,-0.481
908,0.998896,4.30793e-05,-0.357
909,1.00005,4.24979e-05,0.123
910,0.999458,4.29483e-05,-0.157
911,1.00044,4.28188e-05,0.333
912,1.00025,4.24839e-05,0.217
913,1.00066,4.30305e-05,0.414
914,0.999784,4.4068e-05,0.019
915,0.999837,4.27743e-05,0.003
916,0.998763,4.25909e-05,-0.439
917,0.998797,4.37514e-05,-0.421
918,0.999668,4.25856e-05,-0.022
919,1.0004,4.33281e-05,0.287
